frame,frame_ms,fps,num_kp_left,num_kp_right,num_stereo_matches,num_3d_points,num_pnp_matches,num_pnp_inliers,tracking_ok
0,507.9031280000663,1.9688793883542877,2263,2229,837,775,0,0,False
1,41.31863700001759,24.202153618948618,2261,2275,816,750,523,510,True
2,17.804041999966103,56.16702094961941,2296,2290,785,712,507,482,True
3,17.943023000043468,55.73196891056638,2304,2308,843,784,474,459,True
4,17.814792999956808,56.133124870012495,2298,2279,816,747,530,516,True
5,17.963002999977107,55.66997901193216,2281,2304,839,773,487,476,True
6,17.973172000097293,55.63848162108429,2291,2294,851,777,510,501,True
7,17.991182999935518,55.58278185506668,2289,2309,857,781,492,476,True
8,17.87645300009899,55.93950880493253,2241,2274,870,794,486,474,True
9,18.028822999895056,55.46673790107213,2224,2238,879,812,515,480,True
10,17.56397199994808,56.93472979818893,2201,2186,916,845,539,516,True
11,17.577573000039592,56.890675407677016,2172,2198,946,869,525,514,True
12,17.547402999980477,56.98848997775412,2164,2216,874,803,540,524,True
13,17.323891999922125,57.72374937482266,2174,2197,869,805,485,474,True
14,17.369332999919607,57.57273465852882,2181,2231,836,770,509,501,True
15,17.118503000006058,58.41632296934178,2217,2232,877,810,488,476,True
16,17.24816200010082,57.97719200423528,2241,2239,860,806,506,499,True
17,17.12851300010243,58.38218413904464,2237,2239,809,747,453,438,True
18,17.5616029999901,56.94241009778912,2282,2267,854,796,426,414,True
19,17.574351999996907,56.90110224264178,2312,2289,794,742,433,414,True
20,17.839322999975593,56.055938894170374,2308,2321,796,726,392,384,True
21,18.094123000082618,55.26656362374866,2317,2281,770,704,389,366,True
22,18.458693000070525,54.17501661662499,2305,2289,742,685,406,387,True
23,18.232052999906045,54.84845837192077,2268,2289,731,657,369,360,True
24,17.752411999936157,56.33037358549341,2300,2301,723,627,389,373,True
25,17.68149299994093,56.55631003577248,2323,2307,749,678,353,345,True
26,17.61330299996189,56.775268102874506,2262,2251,782,715,345,325,True
27,17.368662000080803,57.5749588537878,2263,2240,812,753,387,376,True
28,17.481892999967386,57.20204327997349,2232,2241,827,755,445,436,True
29,17.378513000039675,57.54232252193942,2217,2250,780,699,456,428,True
30,17.289581999989423,57.83829823072714,2217,2239,807,724,409,394,True
31,17.145103000075324,58.325692181353865,2225,2244,831,738,414,399,True
32,17.47385300006954,57.228362857122605,2255,2243,789,726,433,414,True
33,17.2738119999849,57.89110128099542,2214,2218,774,698,417,407,True
34,17.279263000091305,57.87283867342698,2193,2217,767,690,408,382,True
35,17.153073000031327,58.29859174494119,2213,2195,777,720,426,404,True
36,17.289291999986744,57.83926837494368,2190,2219,799,729,436,408,True
37,17.525202999991052,57.060679981881556,2289,2243,897,826,432,408,True
38,17.84147299997585,56.04918383147813,2260,2288,1027,951,516,497,True
39,17.67846300003839,56.56600350368855,2257,2265,953,884,592,578,True
40,17.622311999957674,56.746243058368385,2234,2278,905,840,503,487,True
41,17.47913300005166,57.21107562926859,2254,2303,929,855,515,493,True
42,17.575253000018165,56.898185192495745,2248,2296,957,885,542,531,True
43,17.189981999990778,58.1734175172805,2231,2272,915,852,537,526,True
44,17.218243000002076,58.07793512961104,2225,2276,970,903,523,513,True
45,17.19482299995434,58.157039476513106,2236,2280,959,890,537,521,True
46,17.5782620000291,56.88844551289226,2251,2251,950,878,557,527,True
47,17.482983000036256,57.19847694171676,2268,2254,897,835,500,466,True
48,17.893183000069257,55.887205758535494,2262,2261,893,823,477,461,True
49,17.501371999969706,57.138377494160515,2236,2259,910,861,506,492,True
50,17.639572999996744,56.690714678874855,2244,2282,1002,926,526,513,True
51,17.88102299997263,55.92521188533401,2239,2246,928,858,568,552,True
52,17.732551999984025,56.393462148082286,2244,2260,926,862,513,499,True
53,17.708593000065775,56.46976018909496,2248,2287,930,854,527,520,True
54,17.820233000065855,56.11598905560351,2251,2276,891,814,502,488,True
55,17.584252999995442,56.86906347402185,2246,2294,882,805,482,453,True
56,17.52462199999627,57.062571734797636,2251,2266,846,788,489,467,True
57,17.7354730000161,56.384174247796615,2264,2299,889,808,475,465,True
58,18.379213000002892,54.40929380381209,2254,2284,878,811,495,487,True
59,19.27358299997195,51.88448873265834,2261,2298,960,884,501,485,True
60,19.263992999981383,51.910317866133276,2267,2267,960,893,530,518,True
61,18.745683000020108,53.345615627818276,2237,2232,1001,927,541,531,True
62,18.4275730000536,54.266505958060314,2202,2203,920,859,536,511,True
63,17.961342000035074,55.675127170233004,2179,2204,921,843,499,483,True
64,17.48145300007309,57.203483028316874,2197,2223,887,820,499,484,True
65,18.29306299998734,54.665530862747914,2225,2226,919,860,487,458,True
66,17.660753000086515,56.622727241307395,2249,2236,856,781,550,512,True
67,17.215662000012344,58.0866422679118,2243,2219,843,758,515,498,True
68,17.65391300000374,56.64466568968523,2247,2238,871,788,494,445,True
69,17.31954299998506,57.738244017227395,2246,2247,891,818,502,485,True
70,18.264281999904597,54.751673238796,2265,2284,959,903,553,541,True
71,17.581892999942283,56.8766969519882,2279,2286,964,896,587,579,True
72,17.787463000104253,56.21937203715555,2278,2278,1010,943,597,584,True
73,17.92317299998558,55.79369233342804,2272,2316,958,894,625,610,True
74,17.724221999969814,56.419965852475954,2260,2310,921,858,567,558,True
75,17.901993000009497,55.859702324733874,2315,2330,1016,946,578,559,True
76,17.939863000037803,55.74178576491319,2306,2313,958,886,598,587,True
77,18.134583000005478,55.143258601518326,2330,2351,969,905,568,529,True
78,18.425761999992574,54.27183961240805,2368,2389,978,913,609,575,True
79,18.73405300000286,53.378732301005414,2384,2405,1025,972,616,595,True
80,18.71045299992602,53.446060338782495,2371,2396,1119,1033,639,607,True
81,18.8622429999441,53.015964220319056,2369,2396,1165,1092,716,676,True
82,18.911102999936702,52.87898860279843,2349,2384,1211,1130,720,682,True
83,18.793283000036354,53.21050079425003,2325,2352,1266,1184,800,782,True
84,18.87413299994023,52.98256613976212,2347,2357,1274,1203,839,827,True
85,18.685112999946796,53.51854173977152,2335,2349,1241,1179,830,804,True
86,18.533341999955155,53.95680930090319,2353,2355,1214,1138,807,787,True
87,18.675702999985333,53.545507764863544,2360,2337,1195,1127,809,797,True
88,18.482053000070664,54.106543250156065,2320,2351,1149,1080,785,767,True
89,18.329272999949353,54.55753755224024,2329,2365,1181,1105,781,771,True
90,18.403132999992522,54.33857376352202,2339,2321,1100,1038,786,757,True
91,18.200833000037164,54.94254026713822,2297,2327,1068,999,713,696,True
92,18.721092999953726,53.41568465059555,2303,2314,1106,1032,707,689,True
93,18.07395200000883,55.328242544824256,2291,2316,1048,966,698,687,True
94,17.9532829999971,55.700119025593345,2283,2312,1041,961,663,644,True
95,17.743752999990647,56.35786296171543,2276,2295,913,855,634,624,True
96,17.834062000019912,56.07247524421994,2269,2286,941,874,560,547,True
97,17.768583000020044,56.27910790629011,2246,2300,928,854,571,554,True
98,17.657273000054374,56.63388678404194,2233,2257,920,861,554,524,True
99,17.726112999980614,56.41394703966367,2216,2208,967,885,577,564,True
100,17.67276199996104,56.58425095082504,2174,2218,956,898,584,567,True
101,17.448373000092943,57.311933897485645,2178,2229,1038,966,616,610,True
102,17.611823000038385,56.780039181510084,2192,2206,1100,1037,611,593,True
103,17.659281999954146,56.62744385658469,2143,2177,1096,1024,606,564,True
104,17.20557299995562,58.120703100244285,2099,2097,1061,996,611,598,True
105,16.979363000018566,58.89502450703873,2011,2039,1024,953,579,538,True
106,16.621011999973234,60.16480825605627,1994,2044,986,917,592,580,True
107,16.495792999990044,60.621517255981786,1959,2021,874,845,601,586,True
108,16.72747200007052,59.78189651106779,2028,2062,926,896,549,543,True
109,17.14410299996416,58.32909426652945,2061,2116,890,861,538,519,True
110,17.156413000066095,58.28724221060355,2135,2149,853,820,527,515,True
111,17.300551999937852,57.80162390215019,2108,2158,854,819,497,486,True
112,17.515643000024284,57.09182357727967,2142,2172,907,877,493,481,True
113,17.762192999953186,56.299354477379886,2163,2204,812,775,504,487,True
114,17.75895200000832,56.3096290816897,2214,2255,775,742,447,429,True
115,17.530742999952054,57.04264787879983,2222,2220,710,683,401,394,True
116,17.255722999948375,57.95178793742758,2173,2220,682,643,381,373,True
117,17.20247200000813,58.13118021639724,2199,2217,706,670,362,348,True
118,17.587413000001106,56.85884558461993,2223,2234,647,614,374,365,True
119,17.162113000040335,58.26788344754808,2231,2279,607,559,336,332,True
120,17.745651999916845,56.35183198705158,2268,2308,559,524,327,305,True
121,17.837262999933046,56.06241271453774,2303,2344,574,526,313,300,True
122,17.898812999987967,55.86962666187262,2309,2328,520,484,306,277,True
123,17.545742999914182,56.993881650089776,2220,2276,511,465,301,293,True
124,17.69226199996865,56.5218851044469,2204,2290,479,431,300,282,True
125,17.462262999970335,57.2663462920985,2226,2349,496,450,282,277,True
126,17.45088300003772,57.303690592495435,2242,2321,473,430,290,280,True
127,17.620733000057953,56.75132810858158,2260,2304,489,447,312,303,True
128,17.60775200000353,56.793167009610286,2251,2297,461,411,292,274,True
129,17.853163000040695,56.0124836141204,2279,2344,511,461,285,282,True
130,17.84639300001345,56.03373185826662,2294,2347,534,472,323,312,True
131,18.29766200000904,54.65179103207316,2282,2329,548,502,336,326,True
132,18.210301999943113,54.913971223713034,2324,2319,582,530,326,295,True
133,17.862402999980986,55.983509049765836,2312,2308,542,485,337,324,True
134,18.69323300002179,53.495294259630434,2320,2337,553,491,336,307,True
135,17.864903000031518,55.97567476287085,2271,2327,532,482,330,314,True
136,17.751551999936055,56.333102593148034,2298,2315,551,506,307,285,True
137,17.788022999980058,56.217602147305584,2293,2267,591,535,350,322,True
138,17.74075299999822,56.36739319915565,2260,2315,632,584,372,366,True
139,17.63043200003267,56.7201075956702,2251,2244,599,555,402,387,True
140,17.415313000014976,57.42073082459902,2195,2190,677,638,376,367,True
141,17.098402999977225,58.484994183452805,2139,2081,787,729,436,422,True
142,16.67229200006659,59.979755632639225,2039,2054,864,829,508,500,True
143,17.06027299997004,58.615709139106755,2032,2039,935,886,579,553,True
144,16.519592999998167,60.53417902003463,1979,1964,920,879,630,618,True
145,16.17528199994922,61.822724327349555,1938,1949,903,868,611,592,True
146,15.94692200001191,62.70802603783057,1909,1908,928,890,563,549,True
147,15.692072999968332,63.726443281395525,1873,1879,882,835,594,573,True
148,15.582031999997525,64.17648224571474,1844,1894,858,814,559,551,True
149,15.372932999980549,65.04939558386583,1832,1875,829,783,536,519,True
150,15.923842000006516,62.798914985440746,1900,1945,875,838,542,518,True
151,16.280063000067457,61.42482372432198,1972,2048,888,853,562,555,True
152,16.93961200010108,59.03322933217319,2079,2143,893,848,580,565,True
153,16.783852999992632,59.58107473894337,2173,2216,964,922,572,559,True
154,17.372981999983494,57.56064215118337,2233,2241,937,878,581,556,True
155,17.479993000051763,57.208260895587244,2256,2245,890,848,552,539,True
156,17.6488329999529,56.66097016174773,2298,2300,899,852,527,508,True
157,17.814982999993845,56.13252620001633,2298,2302,942,892,512,504,True
158,17.861221999964982,55.98721072958841,2300,2352,879,843,527,516,True
159,18.014113000049292,55.51203103906718,2344,2347,815,778,484,469,True
160,17.94184300001689,55.735634293481375,2346,2322,792,760,455,444,True
161,18.02059300007386,55.49206954487577,2342,2330,764,736,440,427,True
162,18.13171199989938,55.1519900605938,2350,2313,696,671,413,394,True
163,18.29807299998265,54.65056347741908,2335,2284,732,697,385,362,True
164,18.319132999977228,54.587736220990536,2313,2314,699,669,373,345,True
165,18.02428299993153,55.48070899706794,2310,2331,659,625,368,352,True
166,17.996963000086907,55.5649305938547,2270,2285,582,558,342,336,True
167,18.030392000014217,55.4619111996684,2248,2265,627,588,305,296,True
168,17.562583000085397,56.93923268548468,2265,2279,645,616,336,330,True
169,17.736053000021457,56.3823303865178,2259,2259,577,547,324,297,True
170,17.856492000078106,56.00204116215133,2272,2238,531,502,309,287,True
171,17.681812999967406,56.55528649702626,2207,2208,579,543,296,275,True
172,17.433433000064724,57.361048738724456,2166,2153,604,570,337,316,True
173,16.487402000052498,60.652369609039425,2058,2096,568,537,339,323,True
174,15.981882999994923,62.57084975533344,2037,2068,581,537,355,349,True
175,15.989342000011675,62.54166056359729,2063,2025,647,622,342,333,True
176,16.157392999957665,61.89117266644564,2050,2046,716,685,389,381,True
177,16.293141999994987,61.37551615276585,2083,2076,730,698,433,411,True
178,16.40785299991876,60.94642608054517,2085,2086,729,705,433,410,True
179,16.285562000007303,61.40408295394114,2103,2086,679,647,424,420,True
180,16.16987300008077,61.843404706703936,2066,2103,649,623,399,396,True
181,16.71590199998718,59.823274867295034,2062,2089,626,596,373,367,True
182,16.29861300000357,61.3549140653736,2071,2115,607,581,376,362,True
183,16.198302000020703,61.734865790174915,2084,2109,596,575,380,361,True
184,15.990023000085785,62.53899697296465,2063,2122,616,594,393,388,True
185,16.40381200002139,60.96143993839335,2167,2178,636,610,416,402,True
186,16.5829830000348,60.30278147169911,2190,2248,630,599,423,404,True
187,16.94852200000696,59.00219499963415,2236,2265,614,575,417,392,True
188,16.85227300004044,59.33917638277046,2235,2300,578,541,392,386,True
189,17.024783000010757,58.73789991915716,2233,2301,575,552,361,353,True
190,17.291771999907724,57.83097302030911,2267,2301,529,492,359,329,True
191,17.281793000051948,57.864366272469184,2266,2321,553,523,316,300,True
192,17.206423000061477,58.11783192802055,2239,2301,505,477,355,348,True
193,17.35757200003718,57.61174431526817,2271,2307,497,475,313,293,True
194,17.352922999975817,57.627179006176284,2271,2292,526,485,308,296,True
195,17.228423000005932,58.04361780527769,2261,2265,520,478,310,298,True
196,17.346372000019983,57.6489423839664,2253,2250,470,439,295,268,True
197,17.131173000052513,58.37311899173131,2206,2261,510,479,280,279,True
198,17.09247199994479,58.50528817617662,2179,2212,516,486,278,264,True
199,16.85623299999861,59.32523595278271,2138,2187,502,481,253,239,True
